#TEXT/SIMPLE
# elo ehi spectrum
1.310000000000 1.320000000000 4.0966141117959e-07
1.320000000000 1.330000000000 4.0215894174708e-07
1.330000000000 1.340000000000 3.9942868952098e-07
1.340000000000 1.350000000000 3.9667859713079e-07
1.350000000000 1.360000000000 3.9391134666384e-07
1.360000000000 1.370000000000 3.9112951310921e-07
1.370000000000 1.380000000000 3.8833550399053e-07
1.380000000000 1.390000000000 3.8553153646981e-07
1.390000000000 1.400000000000 3.8271974383929e-07
1.400000000000 1.410000000000 3.7990217944206e-07
1.410000000000 1.420000000000 3.7708078949697e-07
1.420000000000 1.430000000000 3.7425732724122e-07
1.430000000000 1.440000000000 3.7143345487656e-07
1.440000000000 1.450000000000 3.6861083767629e-07
1.450000000000 1.460000000000 3.6579096696553e-07
1.460000000000 1.470000000000 3.6297525753199e-07
1.470000000000 1.480000000000 3.6016505206723e-07
1.480000000000 1.490000000000 3.5736159729149e-07
1.490000000000 1.500000000000 3.5456607776323e-07
1.500000000000 1.510000000000 3.5177964735223e-07
1.510000000000 1.520000000000 3.4900326875060e-07
1.520000000000 1.530000000000 3.4623799362847e-07
1.530000000000 1.540000000000 3.4348479922076e-07
1.540000000000 1.550000000000 3.4074446312233e-07
1.550000000000 1.560000000000 3.3801791203879e-07
1.560000000000 1.570000000000 3.3505672791238e-07
1.570000000000 1.580000000000 3.3211838692465e-07
1.580000000000 1.590000000000 3.2944831565872e-07
1.590000000000 1.600000000000 3.2679467437595e-07
1.600000000000 1.610000000000 3.2415803775090e-07
1.610000000000 1.620000000000 3.2153913847385e-07
1.620000000000 1.630000000000 3.1893848087050e-07
1.630000000000 1.640000000000 3.1635673242146e-07
1.640000000000 1.650000000000 3.1379446172939e-07
1.650000000000 1.660000000000 3.1125226247712e-07
1.660000000000 1.670000000000 3.0873068629791e-07
1.670000000000 1.680000000000 3.0623031549224e-07
1.680000000000 1.690000000000 3.0375174505713e-07
1.690000000000 1.700000000000 3.0129553796022e-07
1.700000000000 1.710000000000 2.9886227730944e-07
1.710000000000 1.720000000000 2.9645260864004e-07
1.720000000000 1.730000000000 2.9406711643683e-07
1.730000000000 1.740000000000 2.9170645360859e-07
